# 西安高铁网络数据（完整版）
# 格式:
#   站点: S <id> <站名> <电报码>
#   线路: E <起点id> <终点id>
#
# 共有 3173 个站点，17968 条连接

S 248 三明北 XXX
S 249 平等 XXX
S 250 东莞 XXX
S 251 艾不盖 XXX
S 252 龙船 XXX
S 253 宁洱 XXX
S 254 新和 XXX
S 255 苏尼特左旗 XXX
S 256 海拉尔 XXX
S 257 盖州西 XXX
S 258 怀宁 XXX
S 259 南丹 XXX
S 260 中嘴 XXX
S 261 塔拉哈尔 XXX
S 262 瓦房店 XXX
S 263 青莲 XXX
S 264 无为南 XXX
S 265 王安镇 XXX
S 266 横道河子东 XXX
S 267 义马 XXX
S 268 哈达阳 XXX
S 269 山丹马场 XXX
S 270 三关口 XXX
S 271 耒阳 XXX
S 272 通化 XXX
S 273 二龙 XXX
S 274 青岛机场 XXX
S 275 太原南 XXX
S 276 银盏 XXX
S 277 天津西 XXX
S 278 樟木头 XXX
S 279 代县 XXX
S 280 岱岳 XXX
S 281 元宝山 XXX
S 282 广州南 XXX
S 283 云阳 XXX
S 284 吴忠 XXX
S 285 鲘门 XXX
S 286 玛纳斯 XXX
S 287 朝阳村 XXX
S 288 阿寨 XXX
S 289 汉寿南 XXX
S 290 窑上 XXX
S 291 绥芬河 XXX
S 292 鹿寨北 XXX
S 293 得耳布尔 XXX
S 294 龙嘉 XXX
S 295 剑门关 XXX
S 296 祁东 XXX
S 297 吉首 XXX
S 298 阳春 XXX
S 299 丰水村 XXX
S 300 建始 XXX
S 301 开鲁 XXX
S 302 大雅河 XXX
S 303 下板城 XXX
S 304 哈克 XXX
S 305 七台河 XXX
S 306 灵石 XXX
S 307 低庄 XXX
S 308 郑州西 XXX
S 309 华容东 XXX
S 310 奈曼 XXX
S 311 花园 XXX
S 312 小市 XXX
S 313 石林 XXX
S 314 祥云 XXX
S 315 北马圈子 XXX
S 316 红花园 XXX
S 317 高邮 XXX
S 318 博乐 XXX
S 319 贵定县 XXX
S 320 福海 XXX
S 321 蔡家沟 XXX
S 322 沙井西 XXX
S 323 扬州 XXX
S 324 米易 XXX
S 325 砀山 XXX
S 326 八里甸子 XXX
S 327 皋兰 XXX
S 328 亳州南 XXX
S 329 新安庄 XXX
S 330 容县 XXX
S 331 邛崃 XXX
S 332 南京 XXX
S 333 龙镇 XXX
S 334 雁栖湖 XXX
S 335 淮南 XXX
S 336 堡子湾 XXX
S 337 上万 XXX
S 338 山坡东 XXX
S 339 晋城 XXX
S 340 洞井 XXX
S 341 进贤 XXX
S 342 怀集 XXX
S 343 岐山 XXX
S 344 嘉祥北 XXX
S 345 北京丰台 XXX
S 346 秧草地 XXX
S 347 黄山北 XXX
S 348 锦州北 XXX
S 349 惠州 XXX
S 350 青沟子 XXX
S 351 甘洛 XXX
S 352 北票 XXX
S 353 宁乡西 XXX
S 354 穆棱 XXX
S 355 福  州 XXX
S 356 耀州 XXX
S 357 镇雄 XXX
S 358 磁山 XXX
S 359 济南 XXX
S 360 库都尔 XXX
S 361 神州 XXX
S 362 三门峡南 XXX
S 363 宝鸡 XXX
S 364 前山 XXX
S 365 通渭 XXX
S 366 麻柳 XXX
S 367 广元 XXX
S 368 息县 XXX
S 369 祁阳 XXX
S 370 临高南 XXX
S 371 高州 XXX
S 372 红岘台 XXX
S 373 阜新 XXX
S 374 陈江南 XXX
S 375 延平 XXX
S 376 清河 XXX
S 377 介休东 XXX
S 378 沙河市 XXX
S 379 民和南 XXX
S 380 建瓯 XXX
S 381 桓龙湖 XXX
S 382 涪陵 XXX
S 383 武乡 XXX
S 384 冕山 XXX
S 385 木竹河 XXX
S 386 蚌埠南 XXX
S 387 银浪 XXX
S 388 灌水 XXX
S 389 正定 XXX
S 390 大河坝 XXX
S 391 阎良 XXX
S 392 安富镇 XXX
S 393 都匀东 XXX
S 394 石林西 XXX
S 395 张百湾 XXX
S 396 襄阳 XXX
S 397 泉港 XXX
S 398 抚州 XXX
S 399 安亭西 XXX
S 400 大虎山 XXX
S 401 菏泽东 XXX
S 402 于田 XXX
S 403 万安县 XXX
S 404 什邡西 XXX
S 405 台安 XXX
S 406 新固镇 XXX
S 407 虎山 XXX
S 408 云霄 XXX
S 409 永修 XXX
S 410 角美 XXX
S 411 南翔北 XXX
S 412 蓬安 XXX
S 413 富阳西 XXX
S 414 芜湖北 XXX
S 415 青白江东 XXX
S 416 郴州西 XXX
S 417 新阳镇 XXX
S 418 武陟 XXX
S 419 龙岩 XXX
S 420 昭通南 XXX
S 421 泰州 XXX
S 422 襄汾西 XXX
S 423 麻阳西 XXX
S 424 简阳南 XXX
S 425 高楞 XXX
S 426 随县 XXX
S 427 安多 XXX
S 428 厦门 XXX
S 429 金阳 XXX
S 430 武功 XXX
S 431 昭通北 XXX
S 432 武进 XXX
S 433 老岭 XXX
S 434 定远 XXX
S 435 马鞍山 XXX
S 436 长箐 XXX
S 437 吕梁 XXX
S 438 德令哈 XXX
S 439 古源 XXX
S 440 大乌苏 XXX
S 441 尚志南 XXX
S 442 常州北 XXX
S 443 衡阳 XXX
S 444 察素齐 XXX
S 445 西乡 XXX
S 446 汉源 XXX
S 447 亚龙湾 XXX
S 448 景德镇 XXX
S 449 东至 XXX
S 450 双龙湖 XXX
S 451 合肥 XXX
S 452 西峡 XXX
S 453 下普雄 XXX
S 454 东莞东 XXX
S 455 杭州西 XXX
S 456 谷山 XXX
S 457 昆山 XXX
S 458 红砂坝 XXX
S 459 双流机场 XXX
S 460 加劳 XXX
S 461 永安南 XXX
S 462 临颍 XXX
S 463 高台 XXX
S 464 石磷 XXX
S 465 曲阜东 XXX
S 466 莎车 XXX
S 467 台山 XXX
S 468 翠岗 XXX
S 469 涵江 XXX
S 470 叶城 XXX
S 471 巫山 XXX
S 472 月亮田 XXX
S 473 石城 XXX
S 474 新青 XXX
S 475 惠安堡 XXX
S 476 长安西 XXX
S 477 安阳东 XXX
S 478 略阳 XXX
S 479 海东 XXX
S 480 库尔勒 XXX
S 481 荣成 XXX
S 482 南城司 XXX
S 483 昌邑 XXX
S 484 紫荆关 XXX
S 485 玉山南 XXX
S 486 大杨树 XXX
S 487 富蕴 XXX
S 488 美溪 XXX
S 489 信丰 XXX
S 490 明溪 XXX
S 491 乌固诺尔 XXX
S 492 平河口 XXX
S 493 迎春 XXX
S 494 鄂尔多斯 XXX
S 495 洋县西 XXX
S 496 黄梅东 XXX
S 497 忠工屯 XXX
S 498 兴隆县西 XXX
S 499 大石头南 XXX
S 500 图们北 XXX
S 501 遵义 XXX
S 502 武当山西 XXX
S 503 银川 XXX
S 504 李家 XXX
S 505 仙水 XXX
S 506 龙游 XXX
S 507 邢台东 XXX
S 508 宣和 XXX
S 509 西昌西 XXX
S 510 喜德 XXX
S 511 瓦窑坝 XXX
S 512 兰陵北 XXX
S 513 西昌 XXX
S 514 高密北 XXX
S 515 商丘南 XXX
S 516 广顺场 XXX
S 517 合肥 南 XXX
S 518 抚远 XXX
S 519 黑水 XXX
S 520 太谷西 XXX
S 521 新会 XXX
S 522 方正 XXX
S 523 亚河 XXX
S 524 三都县 XXX
S 525 宁国 XXX
S 526 平邑 XXX
S 527 怀仁 XXX
S 528 万荣 XXX
S 529 眉县东 XXX
S 530 艾河 XXX
S 531 伊拉哈 XXX
S 532 建瓯东 XXX
S 533 普宁 XXX
S 534 鹤壁东 XXX
S 535 莱西南 XXX
S 536 小关溪 XXX
S 537 攸县 XXX
S 538 北滘 XXX
S 539 兰州 XXX
S 540 民乐 XXX
S 541 德清 XXX
S 542 丹徒 XXX
S 543 徽县 XXX
S 544 陈庄 XXX
S 545 乐清东 XXX
S 546 宿松 XXX
S 547 盘州 XXX
S 548 文登 XXX
S 549 八面通 XXX
S 550 泸州 XXX
S 551 金山园区 XXX
S 552 德兴 XXX
S 553 光泽 XXX
S 554 北舍 XXX
S 555 黄石北 XXX
S 556 宁化 XXX
S 557 富阳 XXX
S 558 隆昌北 XXX
S 559 敦煌 XXX
S 560 滦县 XXX
S 561 淮南东 XXX
S 562 野三坡 XXX
S 563 蒲城 XXX
S 564 兴城西 XXX
S 565 广德 XXX
S 566 绥中 XXX
S 567 庄桥 XXX
S 568 武乡东 XXX
S 569 萨拉齐 XXX
S 570 吐鲁番北 XXX
S 571 清水县 XXX
S 572 郎溪南 XXX
S 573 孝感北 XXX
S 574 弯坵 XXX
S 575 白云机场北 XXX
S 576 迤那 XXX
S 577 周口 XXX
S 578 东莞港 XXX
S 579 乌拉山 XXX
S 580 许三湾 XXX
S 581 板城 XXX
S 582 兴宁 XXX
S 583 廊坊 XXX
S 584 兴安北 XXX
S 585 南观村 XXX
S 586 新晃 XXX
S 587 照福铺 XXX
S 588 田东北 XXX
S 589 荣昌 XXX
S 590 阿木尔 XXX
S 591 阜新南 XXX
